Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-PK4ULFF,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-PK4ULFF,,Option:CrashOnAuditFail,,Disabled,,0
DESKTOP-PK4ULFF,,Option:FullPrivilegeAuditing,,Disabled,,0
DESKTOP-PK4ULFF,,Option:AuditBaseObjects,,Disabled,,0
DESKTOP-PK4ULFF,,Option:AuditBaseDirectories,,Disabled,,0
DESKTOP-PK4ULFF,,FileGlobalSacl,,,,
DESKTOP-PK4ULFF,,RegistryGlobalSacl,,,,
